,Kanton,Canton,Doses livrées pour 100 habitants,Total des doses livrées,Drapeau
0,Aargau,Argovie,68.85,472175,https://upload.wikimedia.org/wikipedia/commons/b/b5/Wappen_Aargau_matt.svg
1,Appenzell Innerrhoden,Appenzell Rhodes-Int.,70.06,11300,https://upload.wikimedia.org/wikipedia/commons/b/b7/Wappen_Appenzell_Innerrhoden_matt.svg
2,Appenzell Ausserrhoden,Appenzell Rhodes-Ext.,72.86,40395,https://upload.wikimedia.org/wikipedia/commons/2/2c/Wappen_Appenzell_Ausserrhoden_matt.svg
3,Bern,Berne,73.4,763000,https://upload.wikimedia.org/wikipedia/commons/4/47/Wappen_Bern_matt.svg
4,Basel-Landschaft,Bâle-Campagne,74.17,214700,https://upload.wikimedia.org/wikipedia/commons/8/8e/Coat_of_arms_of_Kanton_Basel-Landschaft.svg
5,Basel-Stadt,Bâle-Ville,73.36,143675,https://upload.wikimedia.org/wikipedia/commons/7/7d/Wappen_Basel-Stadt_matt.svg
6,Freiburg,Fribourg,66.61,214350,https://upload.wikimedia.org/wikipedia/commons/0/01/Wappen_Freiburg_matt.svg
7,Genève,Genève,69.78,351775,https://upload.wikimedia.org/wikipedia/commons/9/9d/Wappen_Genf_matt.svg
8,Glarus,Glaris,73.0,29630,https://upload.wikimedia.org/wikipedia/commons/0/0e/Wappen_Glarus_matt.svg
9,Graubünden,Grisons,74.02,147325,https://upload.wikimedia.org/wikipedia/commons/1/19/Wappen_Graub%C3%BCnden_matt.svg
10,Jura,Jura,70.87,52150,https://upload.wikimedia.org/wikipedia/commons/f/f0/Wappen_Jura_matt.svg
11,Luzern,Lucerne,70.4,290850,https://upload.wikimedia.org/wikipedia/commons/6/66/Wappen_Luzern_matt.svg
12,Neuchâtel,Neuchâtel,72.42,127825,https://upload.wikimedia.org/wikipedia/commons/d/d1/Wappen_Neuenburg_matt.svg
13,Nidwalden,Nidwald,71.98,31015,https://upload.wikimedia.org/wikipedia/commons/b/bd/Wappen_Nidwalden_matt.svg
14,Obwalden,Obwald,76.22,28910,https://upload.wikimedia.org/wikipedia/commons/1/1a/Wappen_Obwalden_matt.svg
15,St. Gallen,St-Gall,70.84,361825,https://upload.wikimedia.org/wikipedia/commons/2/20/Wappen_St._Gallen_matt.svg
16,Schaffhausen,Schaffhouse,74.32,61200,https://upload.wikimedia.org/wikipedia/commons/b/b6/Wappen_Schaffhausen_matt.svg
17,Solothurn,Soleure,72.14,198550,https://upload.wikimedia.org/wikipedia/commons/b/b7/Wappen_Solothurn_matt.svg
18,Schwyz,Schwytz,68.76,110350,https://upload.wikimedia.org/wikipedia/commons/5/55/Wappen_des_Kantons_Schwyz.svg
19,Thurgau,Thurgovie,66.79,186700,https://upload.wikimedia.org/wikipedia/commons/7/71/Wappen_Thurgau_matt.svg
20,Ticino,Tessin,75.26,264525,https://upload.wikimedia.org/wikipedia/commons/8/87/Wappen_Tessin_matt.svg
21,Uri,Uri,73.43,26950,https://upload.wikimedia.org/wikipedia/commons/1/10/Wappen_Uri_matt.svg
22,Vaud,Vaud,70.35,566375,https://upload.wikimedia.org/wikipedia/commons/1/1d/Wappen_Waadt_matt.svg
23,Valais,Valais,71.93,248525,https://upload.wikimedia.org/wikipedia/commons/a/a3/Wappen_Wallis_matt.svg
24,Zug,Zoug,69.63,88875,https://upload.wikimedia.org/wikipedia/commons/3/31/Wappen_Zug_matt.svg
25,Zürich,Zurich,69.47,1069400,https://upload.wikimedia.org/wikipedia/commons/5/5a/Wappen_Z%C3%BCrich_matt.svg
