Date,sumTotal
2020-02-28,0
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,5
2020-03-04,7
2020-03-05,8
2020-03-06,9
2020-03-07,9
2020-03-08,13
2020-03-09,16
2020-03-10,26
2020-03-11,34
2020-03-12,40
2020-03-13,45
2020-03-14,54
2020-03-15,59
2020-03-16,83
2020-03-17,111
2020-03-18,137
2020-03-19,155
2020-03-20,190
2020-03-21,208
2020-03-22,231
2020-03-23,272
2020-03-24,308
2020-03-25,347
2020-03-26,384
2020-03-27,431
2020-03-28,459
2020-03-29,472
2020-03-30,505
2020-03-31,562
2020-04-01,597
2020-04-02,631
2020-04-03,673
2020-04-04,714
2020-04-05,731
2020-04-06,771
2020-04-07,799
2020-04-08,823
2020-04-09,853
2020-04-10,870
2020-04-11,888
2020-04-12,902
2020-04-13,913
2020-04-14,931
2020-04-15,952
2020-04-16,980
2020-04-17,999
2020-04-18,1009
2020-04-19,1013
2020-04-20,1025
2020-04-21,1034
2020-04-22,1039
2020-04-23,1046
2020-04-24,1053
2020-04-25,1060
2020-04-26,1061
2020-04-27,1078
2020-04-28,1087
2020-04-29,1098
2020-04-30,1109
2020-05-01,1116
2020-05-02,1122
2020-05-03,1124
2020-05-04,1128
2020-05-05,1132
2020-05-06,1135
2020-05-07,1140
2020-05-08,1146
2020-05-09,1153
2020-05-10,1154
2020-05-11,1159
2020-05-12,1159
2020-05-13,1160
2020-05-14,1161
2020-05-15,1162
2020-05-16,1162
2020-05-17,1162
2020-05-18,1165
2020-05-19,1167
2020-05-20,1167
2020-05-21,1169
2020-05-22,1170
2020-05-23,1170
2020-05-24,1172
2020-05-25,1172
2020-05-26,1172
2020-05-27,1173
2020-05-28,1174
2020-05-29,1174
2020-05-30,1175
2020-05-31,1175
2020-06-01,1175
2020-06-02,1176
2020-06-03,1180
2020-06-04,1182
2020-06-05,1184
2020-06-06,1186
2020-06-07,1187
2020-06-08,1187
2020-06-09,1189
2020-06-10,1189
2020-06-11,1191
2020-06-12,1194
2020-06-13,1196
2020-06-14,1196
2020-06-15,1198
2020-06-16,1198
2020-06-17,1200
2020-06-18,1200
2020-06-19,1203
2020-06-20,1206
2020-06-21,1209
2020-06-22,1217
2020-06-23,1218
2020-06-24,1224
2020-06-25,1226
2020-06-26,1231
2020-06-27,1233
2020-06-28,1233
2020-06-29,1243
2020-06-30,1247
2020-07-01,1253
2020-07-02,1258
2020-07-03,1262
2020-07-04,1265
2020-07-05,1265
2020-07-06,1269
2020-07-07,1271
2020-07-08,1273
2020-07-09,1278
2020-07-10,1283
2020-07-11,1284
2020-07-12,1287
2020-07-13,1291
2020-07-14,1294
2020-07-15,1295
2020-07-16,1298
2020-07-17,1307
2020-07-18,1315
2020-07-19,1318
2020-07-20,1322
2020-07-21,1325
2020-07-22,1328
2020-07-23,1332
2020-07-24,1333
2020-07-25,1336
2020-07-26,1337
2020-07-27,1344
2020-07-28,1350
2020-07-29,1359
2020-07-30,1367
2020-07-31,1370
2020-08-01,1371
2020-08-02,1372
2020-08-03,1379
2020-08-04,1386
2020-08-05,1390
2020-08-06,1395
2020-08-07,1396
2020-08-08,1401
2020-08-09,1405
2020-08-10,1412
2020-08-11,1417
2020-08-12,1423
2020-08-13,1429
2020-08-14,1437
2020-08-15,1441
2020-08-16,1445
2020-08-17,1461
2020-08-18,1470
2020-08-19,1494
2020-08-20,1531
2020-08-21,1556
2020-08-22,1572
2020-08-23,1586
2020-08-24,1606
2020-08-25,1626
2020-08-26,1648
2020-08-27,1665
2020-08-28,1690
2020-08-29,1703
2020-08-30,1715
2020-08-31,1733
2020-09-01,1756
2020-09-02,1811
2020-09-03,1846
2020-09-04,1882
2020-09-05,1915
2020-09-06,1930
2020-09-07,1988
2020-09-08,2024
2020-09-09,2049
2020-09-10,2093
2020-09-11,2122
